Auburn,92,Georgia Southern,62
Georgia Southern,62,Auburn,92
Baylor,77,Jackson State,60
Charleston Southern,75,Arkansas,93
Alabama,105,Louisiana-Lafayette,93
Louisiana-Lafayette,93,Alabama,105
Arkansas,93,Charleston Southern,75
Bryant,71,Prairie View,58
Prairie View,58,Bryant,71
Jackson State,60,Baylor,77
Bradley,59,Seton Hall,67
Seton Hall,67,Bradley,59
Kentucky,78,Wright State,63
Wright State,63,Kentucky,78
Longwood,77,South Carolina State,83
South Dakota,72,Kansas State,93
Florida International,61,James Madison,64
James Madison,64,Florida International,61
Kansas State,93,South Dakota,72
Miami (OH),70,Lipscomb,68
Michigan,70,Xavier,86
Xavier,86,Michigan,70
Lipscomb,68,Miami (OH),70
South Carolina State,83,Longwood,77
Maryland,65,Rider,58
Rider,58,Maryland,65
Wisconsin,61,Georgetown,71
Georgia,63,Murray State,52
Murray State,52,Georgia,63
Georgetown,71,Wisconsin,61
Northeastern,60,Florida Atlantic,58
Florida State,77,Hofstra,82
Hofstra,82,Florida State,77
Delaware,77,Iona,92
Iona,92,Delaware,77
Appalachian State,61,Hampton,82
Hampton,82,Appalachian State,61
Old Dominion,39,Purdue,61
Providence,94,Brown,73
Purdue,61,Old Dominion,39
Radford,64,Prairie View,56
Prairie View,56,Radford,64
Brown,73,Providence,94
Citadel,79,Presbyterian,95
Pacific,82,Nevada,85
Presbyterian,95,Citadel,79
Saint Peter's,72,Princeton,75
